Livello gerarchico più alto;Livello 2;Livello 3;Livello 4;Livello 5;Livello 6;Livello 7;;;
soil property;water infiltration rate;;;;;;;;
soil property;soil erosion rate;;;;;;;;
soil property;soil enzymatic activity;nitrogenase activity;;;;;;;
soil property;soil suppressiveness;;;;;;;;
soil property;carbon management index;;;;;;;;
soil property;other soil property;;;;;;;;
soil;bare soil;;;;;;;;
soil;agricultural soil;;;;;;;;
soil;forest soil;;;;;;;;
soil;urban soil;;;;;;;;
soil;surface soil;;;;;;;;
soil;degraded soil;;;;;;;;
soil;acid soil;;;;;;;;
soil;alkaline soil;;;;;;;;
soil;rhizosphere soil;;;;;;;;
soil;sandy soil;sandy loam soil;;;;;;;
soil;sandy soil;coarse sandy soil;;;;;;;
soil;silty soil;silt loam soil;;;;;;;
soil;clay soil;clay loam soil;;;;;;;
soil;loamy soil;loamy sand soil;;;;;;;
soil;tropical soil;;;;;;;;
soil;subtropical soil;;;;;;;;
soil;no till soil;;;;;;;;
soil;vineyard soil;;;;;;;;
soil;fallow soil;;;;;;;;
soil;coarse textured soil;;;;;;;;
soil;fine textured soil;;;;;;;;
soil;calcareous soil;;;;;;;;
soil;sodic soil;;;;;;;;
soil;unamended soil;;;;;;;;
soil;dry soil;;;;;;;;
soil;arable soil;;;;;;;;
soil;saline soil;;;;;;;;
soil;red soil;;;;;;;;
soil;top soil;;;;;;;;
soil;undisturbed soil;;;;;;;;
soil;compact soil;;;;;;;;
soil;poor soil;;;;;;;;
soil;wet soil;;;;;;;;
soil;shallow soil;;;;;;;;
soil;flood soil;;;;;;;;
soil;paddy soil;red paddy soil;;;;;;;
soil;untreated soil;;;;;;;;
soil;lowland soil;coastal plain soil;;;;;;;
soil;upland soil;;;;;;;;
soil;organic soil;;;;;;;;
soil;fertile soil;;;;;;;;
soil;infertile soil;;;;;;;;
soil;green manured soil;;;;;;;;
soil;black soil;;;;;;;;
soil;compacted soil;;;;;;;;
soil;oxisol;;;;;;;;
soil;cambisol;clay loam cambisol;;;;;;;
soil component;soil particle;clay;;;;;;;
soil component;soil particle;sand;coarse sand;;;;;;
soil component;soil particle;silt;;;;;;;
soil component;soil organic matter;;;;;;;;
soil component;soil carbonate;;;;;;;;
soil component;soil solution;;;;;;;;
soil fraction;mineral-associated organic C (MAOC);MAOC;;;;;;;
soil fraction;particulate organic C (POC) ;POC;;;;;;;
soil fraction;mineral-associated organic matter (MAOM);MAOM;;;;;;;
soil fraction;particulate organic matter (POM) ;POM;;;;;;;
element;metal;Na;;;;;;;
element;metal;K;available K;;;;;;
element;metal;Ca ;exchangeable Ca;;;;;;
element;metal;Mg;;;;;;;
element;metal;Mo;;;;;;;
element;metal;Li ;;;;;;;
element;metal;heavy metal;Cu;;;;;;
element;metal;heavy metal;Fe;;;;;;
element;metal;heavy metal;Al;;;;;;
element;metal;heavy metal;Cd;;;;;;
element;metal;heavy metal;Zn;;;;;;
element;metal;heavy metal;Mn;;;;;;
element;metal;heavy metal;Pb;;;;;;
element;metal;heavy metal;Ni;;;;;;
element;N;mineral N;urea N;;;;;;
element;N;mineral N;nitrate N;soil NO3 N;;;;;
element;N;mineral N;soil inorganic N;NH4 N;;;;;
element;N;mineral N;soil organic N;;;;;;
element;N;mineral N;atmospheric N;;;;;;
element;N;mineral N;nitrous oxide N;;;;;;
element;N;organic N;urea N;;;;;;
element;N;organic N;crop N;;;;;;
element;N;organic N;microbial biomass N;soil microbial biomass N;;;;;
element;N;organic N;potentially mineralizable N;;;;;;
element;N;organic N;green manure N;;;;;;
element;N;organic N;soil organic N;;;;;;
element;N;organic N;amino acid N;;;;;;
element;N;fertilizer N;;;;;;;
element;N;available N;plant available N;;;;;;
element;N;residual N;;;;;;;
element;N;soil N;soil inorganic N;;;;;;
element;N;soil N;total soil N;;;;;;
element;N;soil N;available soil N;;;;;;
element;N;fertilizer N;;;;;;;
element;N;plant N;legume N;clover N;;;;;
element;N;plant N;grain N;;;;;;
element;N;plant N;leaf N;;;;;;
element;N;plant N;root C;;;;;;
element;N;residue N;;;;;;;
element;N;Kjeldahl N;;;;;;;
element;C;organic C;total organic C;;;;;;
element;C;organic C;particulate organic C;;;;;;
element;C;CO2 C;;;;;;;
element;C;soil C ;soil microbial biomass C;;;;;;
element;C;soil C ;labile C;;;;;;
element;C;soil C ;total soil C;;;;;;
element;C;soil C ;soil C fraction;;;;;;
element;C;total C;;;;;;;
element;C;mineralizable C;;;;;;;
element;C;permanganate oxidizable C;;;;;;;
element;C;water soluble C;;;;;;;
element;S;;;;;;;;
element;P;organic P;;;;;;;
element;P;inorganic P;;;;;;;
element;P;soil P;labile P;;;;;;
element;P;soil P;soil available P;;;;;;
element;P;total P;;;;;;;
element;P;available P;;;;;;;
element;P;extractable P;;;;;;;
element;P;soluble P;;;;;;;
element;P;fertilizer P;;;;;;;
element;F;;;;;;;;
element;K;exchangeable K;;;;;;;
element;K;total K;;;;;;;
element;B;;;;;;;;
element;Si;;;;;;;;
element;O;;;;;;;;
soil process;soil N cycling;;;;;;;;
soil process;N process;N loss;nitrate loss;nitrate leaching;;;;;
soil process;N process;N loss;denitrification loss;;;;;;
soil process;N process;N loss;total N loss;;;;;;
soil process;N process;N loss;potential N loss;;;;;;
soil process;N process;N mineralization;net N mineralization;;;;;;
soil process;N process;N accumulation;;;;;;;
soil process;N process;N release;;;;;;;
soil process;N process;N application;;;;;;;
soil process;N process;N uptake;total N uptake;;;;;;
soil process;N process;biological N fixation;;;;;;;
soil process;P process;P accumulation;;;;;;;
soil process;P process;P uptake;;;;;;;
soil process;P process;P loss;DRP loss;;;;;;
soil process;C process;C mineralization;;;;;;;
soil process;C process;C sequestration;;;;;;;
soil process;soil compaction;subsoil compaction;;;;;;;
soil process;soil aggregation;;;;;;;;
soil process;water infiltration;cumulative infiltration;;;;;;;
soil process;water loss;water drainage;;;;;;;
soil process;water loss;water evaporation;;;;;;;
soil process;water loss;runoff;;;;;;;
soil process;nutrient loss;nutrient leaching;;;;;;;
soil process;soil erosion;;;;;;;;
soil process;soil degradation;;;;;;;;
soil process;soil loss;;;;;;;;
soil process;soil runoff;nutrient runoff;;;;;;;
soil process;organic matter decomposition;litter decomposition;;;;;;;
soil process;humification;;;;;;;;
soil process;soil nutrient cycling;soil N cycling;;;;;;;
soil process;soil drying;;;;;;;;
soil process;soil water depletion;;;;;;;;
soil process;soil respiration;heterotrophic soil respiration;basal soil respiration;;;;;;
soil process;soil respiration;heterotrophic soil respiration;substrate-induced soil respiration;;;;;;
